,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
2,Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,[],LEO,Sun-Synchronous,0.0,497.0,517.0,0.00145,97.45,94.7,4.5,,4.5,2017-06-23 00:00:00,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,"['10_17', 'JMSatcat']",https://directory.eoportal.org/web/eoportal/satellite-missions/a/aalto-1  http://www.planet4589.org/space/log/satcat.txt
4,"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,75.0,35778.0,35793.0,0.0001779127278765,0.08,1436.03,6330.0,,16000.0,2014-02-06 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA,http://www.absatellite.net/satellite-fleet/?sat=abs6  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/ http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam
7,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,75.0,35780.0,35793.0,0.0001541873732401,0.01,1436.1,4143.0,1700.0,7400.0,2004-03-13 00:00:00,12.0,"['Loral', 'Space Systems']",USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,"['12_08', 'JM']",http://www.absatellite.net/satellite-fleet/?sat=abs2   http://space.skyrocket.de/doc_sdat/mbsat-1.htm
8,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,159.0,35777.0,35794.0,0.0002016344249267,0.01,1436.08,2894.0,1730.0,6800.0,1999-09-26 00:00:00,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.","['12_08', 'JM']",http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html http://www.interpsputnik.com/1mi1chars.shtml http://www.intersputnik.com/press_270999.htm http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
40,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,[],GEO,,48.0,35764.0,35808.0,0.0005218711452699,0.12,1436.08,3460.0,1555.0,7000.0,2008-12-20 00:00:00,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,"['12_08', 'JM']",http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478  http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html http://en.wikipedia.org/wiki/Eutelsat_W2M
43,AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"['Center for Atmospheric Sciences, Hampton University', 'NASA']",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544.0,552.0,0.0005782017924255,97.9,96.2,215.0,197.0,216.0,2007-04-25 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,"['12', 'www.satellitedebris.net 12']",http://aim.hamptonu.edu/  http://www.lib.cas.cz/www/space.40/2007/015A.HTM http://www.nasa.gov/mission_pages/aim/index.html http://www.lib.cas.cz/space.40/2011/044G.HTM
58,Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Optical Imaging,GEO,,61.0,35767.0,35805.0,0.0004507068981876,0.03,1436.08,5465.0,,15300.0,2009-10-01 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.","['12_09', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html  http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en
59,Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,[],GEO,,61.0,35781.0,35791.0,0.0001186070784704,0.03,1436.05,6265.0,2778.0,14000.0,2013-02-07 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,[],SC - ASCR,http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en  http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp http://space50.kosmo.cz/s40/2013/INDEX1.HTM
64,"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,[],GEO,,130.93,35774.0,35797.0,0.0002727995160773,0.04,1436.07,2340.0,2316.0,6500.0,2004-05-19 00:00:00,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,"['12_08', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html  http://www.ses-americom.com/satellites/amc-10-11.html http://www.spaceref.com/news/viewpr.html?pid=14268 http://perso.wanadoo.fr/eurospace/espdatabase/index.html http://www.lib.cas.cz/www/space.40/2004/017A.HTM http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
67,AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,[],GEO,,124.86,35778.0,35793.0,0.0001779127278765,3.0,1436.1,2500.0,,5000.0,2008-08-14 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.","['12_08', 'JM']",http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf  http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM
78,Anik F1 ,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.27,35778.0,35793.0,0.0001779127278765,0.02,1436.08,4710.0,2950.0,15500.0,2000-11-21 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,[],"['12_08', 'JM']",http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html http://www.telesat.ca/satellites/photos/satellites_gallery7.htm
79,Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.3,35777.0,35795.0,0.0002134927412467,0.02,1436.1,4500.0,,10000.0,2005-09-09 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Baikonur Cosmodrome,Proton M,2005-036A,28868,[],"['12_08', 'JM']",http://www.telesat.ca/satellites/index.htm  http://www.telesat.ca/news/2005/05-14.htm http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM
80,Anik F2 ,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,111.07,35781.0,35790.0,0.0001067476367259,0.01,1436.08,5910.0,3805.0,16000.0,2004-07-18 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada","['12_08', 'JM']",http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://www.telesat.ca/satellites/index.htm http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM
81,Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,118.69,35778.0,35794.0,0.0001897713255527,0.01,1436.1,4715.0,,17500.0,2007-04-09 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.","['12_08', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html  http://www.telesat.ca/satellites/index-e.asp
82,Anik G1,Anik G1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.3,35773.0,35799.0,0.0003083784040231,0.01,1436.08,4905.0,,17500.0,2013-04-15 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,SC - ASCR,http://www.telesat.com/news-events/telesat-successfully-launches-anik-g1-satellite  http://www.ssloral.com/html/satexp/anik_g1.html http://www.planet4589.org/space/log/geo.log http://space50.kosmo.cz/s40/2013/I014A.HTM
96,Apstar 9,Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,[],GEO,,142.0,35782.0,35788.0,7.116593523899893,0.12,1436.01,5200.0,,10500.0,2015-10-16 00:00:00,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.,"['12_15', 'JM']",http://spaceflightnow.com/2015/10/16/satellite-launched-to-beam-tv-and-internet-to-the-asiapacific/  http://spaceflight101.com/spacecraft/apstar-9/ http://planet4589.org/space/log/satcat.txt
98,Arabsat 6A,Arabsat 6A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,[],GEO,,30.5,35774.0,35811.0,0.0004387785354284,0.01,1436.0,6465.0,,20000.0,2019-04-11 00:00:00,15.0,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,[],"['11_19', 'JMSatcat']",https://spaceflightnow.com/2019/04/11/spacexs-falcon-heavy-successful-in-commercial-debut/  https://www.planet4589.org/space/log/satcat.txt
104,Arktika-M1,Arktika-M1,Russia,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,Meteorology,Elliptical,,0.0,1025.0,39754.0,0.7236495450213942,63.3,717.8,2200.0,780.0,2000.0,2021-02-28 00:00:00,7.0,NPO Lavochkin,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2021-016A,47719,"Monitoring of environmental conditions, and also provide reliable communications and navigation across this inhospitable region.","['5_21', 'JMSatcat']",http://www.russianspaceweb.com/arktika.html https://spaceflightnow.com/2021/02/28/russia-launches-arctic-weather-satellite/
107,ArSat 2,ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,[],GEO,,81.0,35786.0,35801.0,0.000177878971148,0.01,1436.06,2977.0,,4600.0,2015-09-30 00:00:00,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,[],"['12_15', 'JM']",http://spacenews.com/argentinas-arsat-2-launch-aboard-ariane-5/  http://www.planet4589.org/space/log/satcat.txt http://www.orbiter-forum.com/showthread.php?t=36156
113,AsiaSat-8,AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,[],GEO,,105.5,35781.0,35793.0,0.0001423251180112,0.07,1436.1,4500.0,,8500.0,2014-08-05 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.,ZARYA,http://www.asiasat.com/asiasat/contentView.php?section=216&lang=0  http://www.cbsnews.com/network/news/space/home/spacenews/files/080514_spacex_asiasat8.html
115,AsiaStar ,AsiaStar,USA,USA,1Worldspace,Commercial,Communications,[],GEO,,104.97,35773.0,35801.0,0.0003320919420262,0.02,1436.15,2775.0,1530.0,5600.0,2000-03-21 00:00:00,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.","['12_08', 'JM']",http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx557.html http://www.worldspace.com/about/index.html
119,Astra 1G ,Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,19.24,35780.0,35791.0,0.0001304693337761,0.04,1436.08,3379.0,3010.0,6600.0,1997-12-02 00:00:00,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,"['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet  http://www.lib.cas.cz/www/space.40/1997/076A.HTM http://www.ses-astra.com/satellites/fleet/satellites.php?sat=11
120,Astra 1KR,Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,19.16,35766.0,35807.0,0.0004862832540652,0.08,1436.1,4332.0,,12000.0,2006-04-20 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,"['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet  http://www.lib.cas.cz/www/space.40/2006/012A.HTM http://en.wikipedia.org/wiki/Astra_1KR http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
121,Astra 1L,Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,19.3,35772.0,35798.0,0.0003083857193689,0.05,1436.03,4500.0,,13000.0,2007-05-04 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.","['12_08', 'JM']",http://www.ses-global.com/corpSite/site_en/04_ASTRAFleet/03_satellite_list/astra1l/index.php  http://www.lib.cas.cz/www/space.40/2007/016A.HTM http://www.space-travel.com/reports/Lockheed_Martin_Built_Astra_1L_Satellite_Ready_For_Launch_999.html http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
122,Astra 1M,Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,19.2,35804.0,35852.0,0.0005687473339968,0.14,1438.2,5345.0,,9900.0,2008-11-05 00:00:00,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,"['09', 'SC - ASCR 1']",http://www.thefreelibrary.com/ASTRA+1M+Satellite+Successfully+Launched.-a0188470617  http://www.lib.cas.cz/space.40/2008/I065B.HTM http://www.ses-astra.com/business/en/satellite-fleet/satellite-list/astra1m/index.php
124,Astra 2A ,Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,28.16,35776.0,35797.0,0.0002490719106187,0.08,1436.12,3635.0,2500.0,7000.0,1998-08-30 00:00:00,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.","['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet  http://www.lib.cas.cz/www/space.40/1998/050A.HTM http://www.ses-astra.com/satellites/fleet/satellites.php?sat=2
125,Astra 2C ,Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,28.21,35768.0,35804.0,0.0004269854824935,0.07,1436.12,3643.0,2000.0,7000.0,2001-06-16 00:00:00,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe","['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet  http://nssdc.gsfc.nasa.gov/spacewarn/spx572.html http://www.ses-astra.com/satellites/fleet/satellites.php?sat=14 http://www.planet4589.org/space/jsr/back/news.455
126,Astra 2D,Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,28.14,35770.0,35802.0,0.0003795426511054,0.07,1436.1,1420.0,700.0,1500.0,2000-12-19 00:00:00,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.","['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet   http://www.ses-astra.com/satellites/fleet/satellites.php?sat=15 http://www.planet4589.org/space/jsr/back/news.442
127,Astra 2E (Eutelsat 28E),Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,28.2,35781.0,35793.0,0.0001423251180112,0.11,1436.12,6052.0,,13000.0,2013-09-29 00:00:00,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe.",SC - ASCR,http://www.astra2.org/astra2e.html  http://space50.kosmo.cz/s40/2013/I056A.HTM http://www.zarya.info/Diaries/Launches/Launches.php?year=2013 http://www.space-airbusds.com/en/programmes/astra-2e-astra-2f-astra-2g-and-astra-5b-added-flexibility-and-improved.html
129,Astra 2G (Eutelsat 28G),Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,28.2,35785.0,35789.0,4.74417060037479,0.09,1436.11,6000.0,,13000.0,2014-12-27 00:00:00,15.0,Airbus Defense and Space,"['France', 'Germany']",Baikonur Cosmodrome,Proton M,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders,ZARYA,http://www.ses.com/4628824/astra-2g  http://www.ilslaunch.com/node/4287 http://spaceflightnow.com/2014/12/28/successful-proton-launch-puts-astra-2g-broadcast-satellite-in-orbit/ http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://airbusdefenceandspace.com/newsroom/news-and-features/astra-2g-satellite-to-provide-next-generation-services-ready-in-orbit/
130,Astra 3A ,Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,23.48,35770.0,35804.0,0.0004032545010318,0.06,1436.07,1500.0,750.0,1500.0,2002-03-29 00:00:00,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.","['12_08', 'JM']",www.astra.lu/corporate/satellites/fleet  http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html http://www.ses-americom.com/bev.3a.html http://www.planet4589.org/space/jsr/back/news.476
131,Astra 3B,Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,[],GEO,,23.5,35768.0,35806.0,0.0004506962070356,0.08,1436.11,5471.0,,10000.0,2010-05-21 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5 ECA,2010-021A,36581,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.",SC - ASCR,http://kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/021A.HTM  http://www.ses-astra.com/business/en/satellite-fleet/satellite-list/astra3b/index.php http://www.broadbandtvnews.com/2010/05/22/astra-3b-finally-placed-in-orbit/
154,Badr 6 (Arabsat 4AR),Badr 6,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,[],GEO,,26.08,35768.0,35805.0,0.0004388409853759,0.05,1436.1,3400.0,,6000.0,2008-07-07 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5 ECA,2008-034B,33154,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.","['12_08', 'JM']",http://www.satbeams.com/info?satellite=2371  http://www.lib.cas.cz/space.40/2008/034B.HTM http://www.eads-nv.com/1024/en/pressdb/pressdb/20080808_atrium_arabsat_BADR-6.html http://www.space-travel.com/reports/Alcatel_Alenia_Space_To_Provide_Communication_Payload_For_Arabsat_BADR_6_Satellite.html
221,"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",BeijinGalaxy-1,China,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,681.0,703.0,0.0015576323987538,97.9,98.6,166.0,155.0,50.0,2005-10-27 00:00:00,7.0,"['Tsinghua University', 'University of Surrey']","['China', 'UK']",Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,Earth observation for Disaster Monitoring Constellation (DMC); also research.,"['12', 'www.satellitedebris.net 12']",http://www.spacedaily.com/news/microsat-00k.html  http://www.spacenewsfeed.co.uk/2005/30October2005_25.html http://www.lib.cas.cz/www/space.40/2005/043A.HTM http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellationAlSAT1BILSAT1NigeriaSat1UKDMCBeijing1.html
224,Bird 2 (Bispectral InfraRed Detector 2),Bispectral InfraRed Detector 2 (Bird 2),Germany,Germany,Institute of Space Sensor Technology and Planetary Exploration,"['Civil', 'Government']","['Earth Observation', 'Technology Development']",Optical Imaging,LEO,Sun-Synchronous,0.0,500.0,521.0,0.0015260518857641,97.9,94.8,92.0,77.0,120.0,2001-10-22 00:00:00,1.5,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959,Forest fire recognition by small satellites.,"['12', 'www.satellitedebris.net 12']",http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html http://spacesensors.dlr.de/SE/bird/ http://www.lib.cas.cz/www/space.40/2001/049C.HTM
228,BKA 2 (BelKA 2),BKA 2,Belarus,Belarus,National Academy of Sciences,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,503.0,507.0,0.000290909090909,97.5,94.7,400.0,110.0,300.0,2012-07-22 00:00:00,5.0,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708,Analog of Canopus-B. Supplies information to various government agencies.,"['12', 'www.satellitedebris.net 12']",http://www.spacedaily.com/reports/Russia_Launches_Soyuz_FG_Rocket_with_Five_Satellites_999.html  http://www.zarya.info/Diaries/Launches/Launches.php?year=2012 http://weebau.com/satellite/B/belka2.htm
251,Brazilsat B-4 (Brasilsat B-4),Brazilsat B-4,Brazil,Brazil,Embratel Star One,Commercial,Communications,[],GEO,,84.03,35772.0,35800.0,0.0003320998197172,0.07,1436.09,2495.0,1050.0,1800.0,2000-08-17 00:00:00,12.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,28 C-band; voice and video communications to all of South America.,"['12_08', 'JM']",http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://nssdc.gsfc.nasa/gov/spacewarn/spx562.html http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_08_17_launch.html
277,Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),Calipso,France,France,"[""Centre National d'Etudes Spatiales (CNES)"", 'NASA']",Government,Earth Science,[],LEO,Sun-Synchronous,0.0,702.0,703.0,7.069635913750442,98.2,98.8,587.0,,550.0,2006-04-28 00:00:00,3.0,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108,[],"['12', 'www.satellitedebris.net 12']",http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf  http://www.skycontrol.net/aerospace/successful-launch-of-the-climatology-calipso-satellite-integrated-by-alcatel-alenia-space/
288,CartoSat 1 (IRS P5),CartoSat 1,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,618.0,619.0,7.154611146884167,97.9,97.1,1560.0,1450.0,1100.0,2005-05-05 00:00:00,6.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,"Remote sensing and mapping, land use, forest cover, river flow assessments.","['12', 'www.satellitedebris.net 12']",http://www.isro.org/pressrelease/May01_2005.htm  http://www.lib.cas.cz/www/space.40/2005/017A.HTM http://www.gisdevelopment.net/technology/rs/techrs023a.htm
298,Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Cassiope,Canada,Canada,Canadian Space Agency,Government,Earth Science,[],LEO,Elliptical,0.0,325.0,1486.0,0.079788330698921,81.0,103.11,490.0,,600.0,2013-09-29 00:00:00,2.0,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265,"Study the effect of solar storms on radio communications, satellite navigation and other ground-based technologies.",ZARYA,http://www.thestar.com/news/canada/2013/09/29/cassiope_canadian_satellite_blasts_off_on_mission_to_study_space_weather.html  http://www.wmo-sat.info/oscar/satellites/view/470 http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
301,CBERS 4 (China-Brazil Earth Resources Satellite 4),CBERS 4,China,"['Brazil', 'China']","['China National Space Administration (CNSA)', 'National Institute for Space Research (Brazil)']",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,738.0,748.0,0.0007029382820188,98.55,99.67,1980.0,,2300.0,2014-12-07 00:00:00,3.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336,Carrying a range of Earth observation sensors.,ZARYA,https://directory.eoportal.org/web/eoportal/satellite-missions/c-missions/cbers-3-4  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
302,CBERS 4A (China-Brazil Earth Resources Satellite 4A),CBERS 4A,Brazil,"['Brazil', 'China']","['China National Space Administration (CNSA)', 'National Institute for Space Research (Brazil)']",Government,Earth Observation ,Optical Imaging,LEO,Sun-Synchronous,0.0,615.0,635.0,0.0014295925661186,97.9,97.2,1980.0,,2100.0,2019-12-21 00:00:00,5.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2019-093E,44883,Better resolution; new generation,"['3_20', 'JMSatcat']",https://directory.eoportal.org/web/eoportal/satellite-missions/c-missions/cbers-4a https://spaceflightnow.com/2019/12/21/china-launches-environmental-satellite-built-in-cooperation-with-brazil/
319,Chandra X-Ray Observatory (CXO),Chandra X-Ray Observatory (CXO),USA,USA,National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Government,Space Science,[],Elliptical,Deep Highly Eccentric,0.0,9999.0,138825.0,0.7973682255948107,28.5,3808.92,4742.0,,2500.0,1999-07-23 00:00:00,5.0,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,X-ray astronomy.,JMSatcat304,http://nssdc.gsfc.nasa.gov/spacewarn/spx549.html  http://spacelink.nasa/gov/NASA.Projects/Space.Science/Universe/Chandra.X-Ray.Observatory/ http://chandra.harvard.edu/graphics/press/fact7-print.pdf http://perso.wanadoo.fr/eurospace/espdatabase/index.html
