,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
993,"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",GOES-15,USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,"['Earth Science', 'Meterology']",GEO,,135.0,35786.0,35788.0,2.372085300187395,0.42,1436.14,3175.0,2180.0,2300.0,2010-03-04 00:00:00,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-008A,36411,[],"['4_10', 'JM']",http://www.planet4589.org/space/log/geo.log  http://nssdc.gsfc.nasa.gov/spacewarn/spx677.html
1001,Gonets M-11 (Gonets M21),Gonets M-11,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1497.0,1508.0,0.0006986344871387,82.4,116.0,280.0,,120.0,2015-03-31 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020A,40552,[],"['8_15', 'JM']",http://gonets.ru/eng/satellite-communication-systems/gonets-d1m-system/satellites-and-infrastructure.html  http://www.nasaspaceflight.com/2015/03/russian-rokot-lofts-gonets-trio/
1002,Gonets M-12 (Gonets M22),Gonets M-12,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1494.0,1506.0,0.0007623888182973,82.4,116.0,280.0,,120.0,2015-03-31 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020B,40553,[],"['8_15', 'JM']",http://gonets.ru/eng/satellite-communication-systems/gonets-d1m-system/satellites-and-infrastructure.html  http://www.nasaspaceflight.com/2015/03/russian-rokot-lofts-gonets-trio/
1003,Gonets M-13 (Gonets M23),Gonets M-13,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1171.0,1504.0,0.0216023353876094,82.4,116.0,280.0,,120.0,2015-03-31 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020C,40554,[],"['8_15', 'JM']",http://gonets.ru/eng/satellite-communication-systems/gonets-d1m-system/satellites-and-infrastructure.html  http://www.nasaspaceflight.com/2015/03/russian-rokot-lofts-gonets-trio/
1004,Gonets M-14,Gonets M-14,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1482.0,1507.0,0.0015894208150549,82.49,115.86,270.0,,120.0,2013-09-11 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048A,39249,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=299  http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
1005,Gonets M-16,Gonets M-16,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1493.0,1508.0,0.0009529254812273,82.49,116.0,270.0,,120.0,2013-09-11 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048B,39250,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=299  http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
1006,Gonets M-17,Gonets M-17,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1494.0,1509.0,0.0009528044210125,92.49,116.02,270.0,,120.0,2013-09-11 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2013-048C,39251,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=299  http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
1007,Gonets M-18,Gonets M-18,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1479.0,1510.0,0.0019708818106681,82.52,115.87,280.0,,120.0,2014-07-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036A,40061,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=165&ses=5f74b08a4d52930f4f814  http://english.gonets.ru/
1008,Gonets M-19,Gonets M-19,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1480.0,1512.0,0.0020340706839562,82.51,115.89,280.0,,120.0,2014-07-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036B,40062,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=165&ses=5f74b08a4d52930f4f814  http://english.gonets.ru/
1009,Gonets M-20,Gonets M-20,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1478.0,1509.0,0.0019711324473834,82.51,115.84,280.0,,120.0,2014-07-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2014-036C,40063,[],ZARYA,http://www.iss-reshetnev.com/?cid=news&nid=165&ses=5f74b08a4d52930f4f814  http://english.gonets.ru/
